SUBURB,PRIVATE TRAVEL TIME,PUBLIC TRAVEL TIME
ROSSMORE,48 mins,1 hour 50 mins
ROUSE HILL,39 mins,2 hours 15 mins
ROYAL NATIONAL PARK,44 mins,1 hour 21 mins
ROZELLE,9 mins,15 mins
RUSE,50 mins,2 hours 6 mins
RUSHCUTTERS BAY,8 mins,14 mins
RUSSELL LEA,15 mins,36 mins
RYDALMERE,32 mins,51 mins
RYDE,21 mins,32 mins
SACKVILLE NORTH,1 hour 12 mins,4 hours 8 mins
SADLEIR,41 mins,1 hour 48 mins
SANDRINGHAM,26 mins,1 hour 8 mins
SANDY POINT,41 mins,1 hour 10 mins
SANS SOUCI,26 mins,1 hour 7 mins
SCARBOROUGH,1 hour 11 mins,2 hours 23 mins
SCHOFIELDS,42 mins,1 hour 41 mins
SCOTLAND ISLAND,48 mins,2 hours 12 mins
SEAFORTH,21 mins,32 mins
SEFTON,38 mins,1 hour 7 mins
SEVEN HILLS,33 mins,1 hour 7 mins
SHALVEY,41 mins,1 hour 33 mins
SHANES PARK,47 mins,1 hour 31 mins
SILVERWATER,29 mins,1 hour 4 mins
SMEATON GRANGE,51 mins,1 hour 50 mins
SMITHFIELD,40 mins,1 hour 31 mins
SOUTH COOGEE,21 mins,42 mins
SOUTH GRANVILLE,37 mins,58 mins
SOUTH HURSTVILLE,30 mins,1 hour 14 mins
SOUTH MAROOTA,1 hour 5 mins,2 hours 26 mins
SOUTH PENRITH,51 mins,1 hour 34 mins
SOUTH TURRAMURRA,25 mins,1 hour 12 mins
SOUTH WENTWORTHVILLE,34 mins,1 hour 9 mins
SOUTH WINDSOR,52 mins,2 hours 3 mins
SPRING FARM,54 mins,2 hours 0 mins
ST ANDREWS,44 mins,1 hour 34 mins
ST CLAIR,46 mins,1 hour 29 mins
ST HELENS PARK,54 mins,2 hours 10 mins
ST IVES,24 mins,40 mins
ST IVES CHASE,28 mins,40 mins
ST JOHNS PARK,48 mins,1 hour 30 mins
ST LEONARDS,12 mins,20 mins
ST MARYS,48 mins,1 hour 27 mins
ST PETERS,19 mins,41 mins
STANHOPE GARDENS,35 mins,2 hours 0 mins
STANMORE,14 mins,22 mins
STANWELL PARK,1 hour 4 mins,2 hours 28 mins
STANWELL TOPS,1 hour 0 mins,2 hours 30 mins
STRATHFIELD,23 mins,33 mins
STRATHFIELD SOUTH,27 mins,56 mins
SUMMER HILL,17 mins,28 mins
SURRY HILLS,10 mins,15 mins
SUTHERLAND,42 mins,1 hour 7 mins
SYDENHAM,22 mins,29 mins
SYDNEY,1 min,1 min
SYDNEY OLYMPIC PARK,27 mins,58 mins
SYLVANIA,34 mins,1 hour 22 mins
SYLVANIA WATERS,34 mins,1 hour 14 mins
TAMARAMA,20 mins,40 mins
TAREN POINT,30 mins,1 hour 49 mins
TELOPEA,30 mins,59 mins
TEMPE,23 mins,46 mins
TENNYSON POINT,18 mins,47 mins
TERREY HILLS,34 mins,1 hour 0 mins
THE PONDS,39 mins,2 hours 2 mins
THE ROCKS,4 mins,8 mins
THIRROUL,1 hour 10 mins,2 hours 2 mins
THORNLEIGH,29 mins,55 mins
TOONGABBIE,36 mins,57 mins
TREGEAR,44 mins,n/a
TURRAMURRA,28 mins,41 mins
TURRELLA,24 mins,34 mins
ULTIMO,8 mins,12 mins
VARROVILLE,45 mins,1 hour 37 mins
VAUCLUSE,20 mins,40 mins
VILLAWOOD,42 mins,1 hour 18 mins
